wavenumber,transmittance
1435.3401,0.473359
1432.7600,0.455108
1430.1798,0.441169
1427.5997,0.430227
1425.0195,0.421414
1422.4394,0.412969
1419.8593,0.411579
1417.2791,0.413696
1414.6990,0.426001
1412.1188,0.438107
1409.5387,0.447798
1406.9586,0.463660
1404.3784,0.482420
1401.7983,0.488381
1399.2181,0.486257
1396.6380,0.494693
1394.0579,0.500471
1391.4777,0.494681
1388.8976,0.482177
1386.3174,0.479732
1383.7373,0.479975
1381.1572,0.472554
1378.5770,0.458451
1375.9969,0.449174
1373.4167,0.440867
1370.8366,0.426255
1368.2565,0.402939
1365.6763,0.384995
1363.0962,0.369863
1360.5160,0.358978
1357.9359,0.347835
1355.3557,0.341601
1352.7756,0.345571
1350.1955,0.357716
1347.6153,0.372675
1345.0352,0.387968
1342.4550,0.413647
1339.8749,0.437058
1337.2948,0.453111
1334.7146,0.452779
1332.1345,0.446405
1329.5543,0.433805
1326.9742,0.429590
1324.3941,0.419458
1321.8139,0.409487
1319.2338,0.398818
1316.6536,0.398260
1314.0735,0.391972
1311.4934,0.383824
1308.9132,0.375537
1306.3331,0.370651
1303.7529,0.362717
1301.1728,0.356276
1298.5927,0.354046
1296.0125,0.354473
1293.4324,0.355542
1290.8522,0.363781
1288.2721,0.372571
1285.6919,0.384469
1283.1118,0.388990
1280.5317,0.399869
1277.9515,0.403200
1275.3714,0.407789
1272.7912,0.406615
1270.2111,0.409240
1267.6310,0.410719
1265.0508,0.418391
1262.4707,0.421559
1259.8905,0.424264
1257.3104,0.433346
1254.7303,0.449739
1252.1501,0.472823
1249.5700,0.501646
1246.9898,0.536263
1244.4097,0.550681
1241.8296,0.564845
1239.2494,0.582457
1236.6693,0.616909
1234.0891,0.622161
1231.5090,0.615146
1228.9289,0.593536
1226.3487,0.567342
1223.7686,0.528107
1221.1884,0.491995
1218.6083,0.461096
1216.0281,0.432776
1213.4480,0.436459
1210.8679,0.460787
1208.2877,0.461499
1205.7076,0.439899
1203.1274,0.431012
1200.5473,0.429459
1197.9672,0.415426
1195.3870,0.397451
1192.8069,0.378654
1190.2267,0.355281
1187.6466,0.336092
1185.0665,0.317428
1182.4863,0.305656
1179.9062,0.298293
1177.3260,0.290585
1174.7459,0.282638
1172.1658,0.278235
1169.5856,0.275141
1167.0055,0.271028
1164.4253,0.270778
